지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 전운량(1/10),평균 지면온도(°C),안개 계속시간(hr)
108,서울,2016-05-01,18.8,,2.2,40.5,5.6,20.2,
108,서울,2016-05-02,21.1,16.5,2.2,64.5,7,24.4,
108,서울,2016-05-03,12.9,27,4.9,86.1,10,14.8,
108,서울,2016-05-04,15.7,,5.1,46.6,1.6,16.6,
108,서울,2016-05-05,18.9,7.5,1.7,50.8,4.5,20,
108,서울,2016-05-06,16.3,9.5,2,89.3,9.3,16.8,
108,서울,2016-05-07,16.5,,2.6,60.3,2,19.3,
108,서울,2016-05-08,19.4,,2.1,44.8,5.4,20.8,
108,서울,2016-05-09,20.2,0,2,43,8.3,23.1,
108,서울,2016-05-10,14.5,13.5,2.3,82.4,9.1,16.9,
108,서울,2016-05-11,16.4,,2,60.9,2,21.2,
108,서울,2016-05-12,17.8,,2.7,62.4,3.3,22.2,
108,서울,2016-05-13,18.6,.5,2.1,57,3.6,24,
108,서울,2016-05-14,20.2,,2.3,47.1,5.5,24.7,
108,서울,2016-05-15,17.4,45,2.7,73.9,9,20.1,
108,서울,2016-05-16,15.9,2.5,3.2,57,3,20.6,
108,서울,2016-05-17,19.3,,1.9,48.8,0,23.6,
108,서울,2016-05-18,22.3,,1.9,40.3,.5,26.9,
108,서울,2016-05-19,24.3,,1.6,36.4,0,29.6,
108,서울,2016-05-20,24,,1.8,32,.6,28.4,
108,서울,2016-05-21,24.1,,2,23.8,2.6,29.3,
108,서울,2016-05-22,24.7,,1.9,35,2.8,30.8,
108,서울,2016-05-23,23.3,,2.1,43,7.5,28.1,
108,서울,2016-05-24,16.8,38.5,2.6,82.6,7,18.5,
108,서울,2016-05-25,19.7,,2.7,67.9,6.9,21.1,
108,서울,2016-05-26,19.4,0,1.8,72,8.1,19.4,
108,서울,2016-05-27,20.9,,1.7,61.3,7.1,23.2,
108,서울,2016-05-28,21.7,,2.1,56.1,2.9,28.3,
108,서울,2016-05-29,21.5,,2.3,56.1,4.1,27.6,
108,서울,2016-05-30,22.1,,2.4,57.3,0,30.1,
108,서울,2016-05-31,21.6,,2.5,63.6,2.9,27.9,
108,서울,2016-06-01,23.3,,2.1,45.8,2.4,29.6,
108,서울,2016-06-02,23.2,,2.4,38.3,.6,31.7,
108,서울,2016-06-03,22.2,,2.2,48.1,4,29.6,
108,서울,2016-06-04,21.2,,1.6,51.8,7.5,25.7,
108,서울,2016-06-05,24.7,,1.7,47.3,3.5,33.7,
108,서울,2016-06-06,23.3,0,2.3,49.1,7.4,28,
108,서울,2016-06-07,21.7,.1,1.7,69.5,6.8,22.8,
108,서울,2016-06-08,22.1,,2.3,65.9,5.1,31.3,
108,서울,2016-06-09,24.1,,2,59.5,1.4,32.8,
108,서울,2016-06-10,24.6,,2.2,60.9,2.1,32.6,
108,서울,2016-06-11,23.5,3,1.7,74.3,8.3,25.9,
108,서울,2016-06-12,23.5,1.5,2.1,79.4,8.3,25.4,
108,서울,2016-06-13,23.5,,2.4,70.5,5.1,27.5,
108,서울,2016-06-14,23.8,0,2.1,62.5,6,31.8,
108,서울,2016-06-15,20.9,15.5,2.7,81.8,9,20.8,
108,서울,2016-06-16,20.9,0,2.8,73.5,6.9,22.4,
108,서울,2016-06-17,23.8,,2.5,63.1,2.5,28.6,
108,서울,2016-06-18,24.5,,1.8,58,1.3,31.4,
108,서울,2016-06-19,24.1,0,1.9,64.5,4.4,30,
108,서울,2016-06-20,24.7,,1.7,66,6.8,29.3,
108,서울,2016-06-21,26,,1.7,60.1,6.1,30.6,
108,서울,2016-06-22,24.3,30.5,2,75.1,6.4,26.2,
108,서울,2016-06-23,24.7,.1,2.1,71,5,26.1,
108,서울,2016-06-24,23.1,3.5,2,75.8,7.3,23.4,
108,서울,2016-06-25,22.8,,2.8,63.1,4.5,24.9,
108,서울,2016-06-26,24.4,,2.7,58.4,.8,30.5,
108,서울,2016-06-27,24.4,,1.6,55.5,6.6,28.3,
108,서울,2016-06-28,24.7,,1.8,61.1,5,27.9,
108,서울,2016-06-29,25.3,,2.2,58,6.9,30.9,
108,서울,2016-06-30,24.6,.2,2.8,78.1,9.5,26,
108,서울,2016-07-01,24,108.5,2.3,86.5,9.9,23.9,
108,서울,2016-07-02,23.5,4,2.4,81.4,8,24.8,
108,서울,2016-07-03,23.5,,1.6,70.4,6.5,23.6,
108,서울,2016-07-04,21.8,29.5,3,85.1,9.1,22.3,
108,서울,2016-07-05,23.1,100.5,2.8,93.6,10,22.9,
108,서울,2016-07-06,22.9,0,1.9,74,6.8,24,
108,서울,2016-07-07,24,0,1.3,71.6,7.5,24.9,
108,서울,2016-07-08,27.3,,1.8,66.5,.1,30.7,
108,서울,2016-07-09,27.7,,2,64.8,3.1,34,
108,서울,2016-07-10,27.9,,1.8,64.4,7.3,34.5,
108,서울,2016-07-11,28.4,0,1.7,67.4,8.1,32.5,
108,서울,2016-07-12,26.3,3,2.1,65.5,7.3,29.2,
108,서울,2016-07-13,26.3,0,2.1,69,7.6,30,
108,서울,2016-07-14,27.5,.1,2.1,66.9,5.8,32.2,
108,서울,2016-07-15,26.2,1.5,2.6,60,9.3,28.3,
108,서울,2016-07-16,20.8,46.5,3.5,92.8,10,21.5,
108,서울,2016-07-17,21.7,2.5,2.6,82.9,10,22.5,
108,서울,2016-07-18,24.4,.2,1.5,75.1,5.9,25.5,
108,서울,2016-07-19,27.1,,1.5,65.5,3.6,29.5,
108,서울,2016-07-20,28.6,,1.9,62.5,5.4,30.7,
108,서울,2016-07-21,28.3,,2.2,61.3,6.8,31.4,
108,서울,2016-07-22,29.1,,2.2,64,6.5,32.4,
108,서울,2016-07-23,28.7,.5,1.9,70.4,8.8,30.5,
108,서울,2016-07-24,28,.5,2,77.9,9.6,28.1,
108,서울,2016-07-25,28.4,,1.9,75.3,6.6,30.1,
108,서울,2016-07-26,28.4,,2.6,69,6.8,32.9,
108,서울,2016-07-27,27.6,.5,3.2,76.4,9.4,27.1,
108,서울,2016-07-28,28,.2,2.8,70.6,6.3,31.9,
108,서울,2016-07-29,26.3,59.5,1.6,82.3,9.6,26.6,
108,서울,2016-07-30,28.6,.5,2.1,73.5,5.9,29.6,
108,서울,2016-07-31,28.9,.2,1.6,72.1,5.4,30.5,
108,서울,2016-08-01,28.4,,1.6,72,6.3,30.9,
108,서울,2016-08-02,27.2,2,1.2,72.5,7.6,30.3,
108,서울,2016-08-03,29.1,,1.6,65.4,4.1,32.3,
108,서울,2016-08-04,30.7,,1.6,59.6,1.1,35.9,
108,서울,2016-08-05,31.2,,1.8,60.1,1.9,35.1,
108,서울,2016-08-06,30.5,,1.7,64.8,1.9,35.5,
108,서울,2016-08-07,30.6,,1.9,56,.9,38.3,
108,서울,2016-08-08,30.5,,1.8,63.1,2.5,38.2,
108,서울,2016-08-09,29.3,1,1.9,68.3,3.8,32.8,
108,서울,2016-08-10,29.4,,1.9,66.3,4.4,34.5,
108,서울,2016-08-11,30.5,,2,64.1,.3,39.2,
108,서울,2016-08-12,30.4,,2,68.3,1.8,37.5,
108,서울,2016-08-13,30.2,,2.4,67.9,3,37.8,
108,서울,2016-08-14,28.9,.2,1.9,74,5.3,33.2,
108,서울,2016-08-15,29.1,0,1.9,65.5,6.1,35.9,
108,서울,2016-08-16,29.3,.5,1.6,64.9,4.5,35,
108,서울,2016-08-17,29.9,,1.9,60.4,3.3,36.4,
108,서울,2016-08-18,29.9,,1.6,61.9,7,33.5,
108,서울,2016-08-19,28.9,11.5,1.4,69.5,7.5,33.7,
108,서울,2016-08-20,30.1,,1.7,59,6.9,29.6,
108,서울,2016-08-21,30.7,0,2.1,57.5,4.4,33.8,
108,서울,2016-08-22,30.7,.4,2.1,58,3.6,35,
