,측정일자,권역명,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
0,20160101,동북권,광진구,85,64,0.004,0.046,0.9,0.006
1,20160101,동남권,강남구,73,44,0.006,0.047,0.8,0.006
2,20160101,서남권,강서구,66,38,0.005,0.048,0.9,0.006
3,20160101,서남권,구로구,56,41,0.007,0.038,1.1,0.007
4,20160101,동북권,성북구,71,45,0.005,0.056,1.3,0.007
5,20160101,동북권,중랑구,66,41,0.004,0.052,1.1,0.006
6,20160101,동북권,강북구,77,52,0.004,0.047,1.1,0.004
7,20160101,동남권,서초구,76,42,0.006,0.038,0.8,0.006
8,20160101,서북권,서대문구,69,39,0.007,0.06,0.9,0.005
9,20160101,도심권,중구,61,35,0.005,0.065,0.8,0.007
10,20160101,서북권,마포구,59,49,0.008,0.042,1.0,0.006
11,20160101,도심권,용산구,59,46,0.005,0.046,0.7,0.005
12,20160101,동북권,성동구,77,39,0.004,0.047,1.0,0.005
13,20160101,서북권,은평구,58,35,0.01,0.039,0.7,0.007
14,20160101,동북권,노원구,68,49,0.003,0.049,1.1,0.007
15,20160101,동북권,동대문구,66,44,0.005,0.047,1.0,0.006
16,20160101,동남권,강동구,77,45,0.002,0.043,0.9,0.004
17,20160101,서남권,영등포구,80,40,0.006,0.035,1.1,0.006
18,20160101,서남권,동작구,54,39,0.009,0.049,0.8,0.005
19,20160101,서남권,관악구,66,44,0.009,0.052,1.1,0.005
20,20160101,서남권,금천구,64,49,0.01,0.043,1.0,0.005
21,20160101,서남권,양천구,82,65,0.008,0.049,1.1,0.005
22,20160101,동북권,도봉구,67,41,0.005,0.053,1.0,0.006
23,20160101,동남권,송파구,64,39,0.004,0.046,1.1,0.006
24,20160101,도심권,종로구,68,51,0.005,0.047,0.7,0.006
25,20160102,서남권,구로구,41,27,0.012,0.032,0.7,0.006
26,20160102,동북권,성북구,54,29,0.005,0.056,1.1,0.007
27,20160102,서남권,강서구,42,26,0.01,0.036,0.5,0.006
28,20160102,서남권,금천구,52,36,0.018,0.034,0.7,0.005
29,20160102,도심권,종로구,53,37,0.007,0.044,0.5,0.006
30,20160102,도심권,중구,47,25,0.007,0.064,0.6,0.007
31,20160102,동남권,서초구,53,26,0.013,0.03,0.5,0.006
32,20160102,서남권,양천구,59,40,0.014,0.035,0.7,0.005
33,20160102,서남권,영등포구,62,28,0.009,0.032,0.9,0.006
34,20160102,서남권,관악구,54,35,0.013,0.047,0.8,0.005
35,20160102,동북권,도봉구,54,31,0.004,0.059,0.9,0.005
36,20160102,서북권,은평구,45,24,0.016,0.037,0.6,0.007
37,20160102,동북권,중랑구,51,29,0.007,0.052,0.9,0.007
38,20160102,동북권,동대문구,55,33,0.007,0.05,0.9,0.007
39,20160102,도심권,용산구,43,30,0.008,0.042,0.4,0.005
40,20160102,동북권,노원구,52,36,0.004,0.049,0.8,0.008
41,20160102,동남권,송파구,41,25,0.012,0.04,0.6,0.005
42,20160102,서남권,동작구,48,34,0.015,0.041,0.6,0.005
43,20160102,서북권,서대문구,55,26,0.013,0.05,0.7,0.005
44,20160102,동북권,강북구,71,44,0.005,0.047,0.9,0.005
45,20160102,동남권,강동구,56,31,0.002,0.046,0.8,0.004
46,20160102,동북권,성동구,44,27,0.005,0.046,0.7,0.005
47,20160102,동남권,강남구,50,29,0.012,0.039,0.5,0.006
48,20160102,동북권,광진구,58,41,0.007,0.043,0.6,0.005
49,20160102,서북권,마포구,45,35,0.011,0.037,0.7,0.006
50,20160103,서남권,금천구,96,67,0.014,0.05,0.9,0.008
51,20160103,동남권,강남구,101,60,0.012,0.052,0.8,0.007
52,20160103,동남권,송파구,76,44,0.011,0.047,1.2,0.006
53,20160103,동북권,광진구,111,80,0.009,0.051,1.0,0.005
54,20160103,동남권,강동구,97,56,0.002,0.057,1.1,0.005
55,20160103,서남권,양천구,116,80,0.017,0.044,0.9,0.007
56,20160103,서남권,강서구,0,50,0.011,0.043,0.7,0.007
57,20160103,서남권,구로구,83,51,0.017,0.037,0.9,0.008
58,20160103,동북권,동대문구,94,59,0.013,0.05,1.1,0.008
59,20160103,동북권,강북구,109,68,0.016,0.047,1.1,0.007
60,20160103,동북권,중랑구,92,54,0.008,0.061,1.2,0.008
61,20160103,동북권,성동구,0,50,0.008,0.053,1.1,0.005
62,20160103,서남권,관악구,96,60,0.019,0.052,0.9,0.007
63,20160103,동남권,서초구,114,52,0.01,0.042,0.8,0.007
64,20160103,서북권,은평구,96,49,0.017,0.04,0.8,0.007
65,20160103,서북권,마포구,88,68,0.017,0.04,0.8,0.007
66,20160103,서남권,영등포구,119,53,0.012,0.033,0.9,0.006
67,20160103,도심권,중구,86,50,0.016,0.064,0.5,0.009
68,20160103,도심권,종로구,98,68,0.015,0.044,0.6,0.007
69,20160103,서북권,서대문구,109,53,0.017,0.059,0.8,0.006
70,20160103,도심권,용산구,85,62,0.01,0.049,0.7,0.006
71,20160103,서남권,동작구,94,61,0.016,0.05,0.8,0.006
72,20160103,동북권,성북구,80,50,0.013,0.055,1.1,0.006
73,20160103,동북권,노원구,87,60,0.011,0.051,1.1,0.01
74,20160103,동북권,도봉구,83,48,0.02,0.052,1.0,0.007
75,20160104,서남권,동작구,70,51,0.028,0.028,0.5,0.005
76,20160104,서북권,서대문구,89,43,0.027,0.029,0.6,0.006
77,20160104,서남권,구로구,77,42,0.025,0.021,0.7,0.007
78,20160104,동북권,성동구,33,48,0.023,0.026,0.6,0.005
79,20160104,동남권,송파구,61,35,0.03,0.025,0.6,0.006
80,20160104,서남권,관악구,66,45,0.027,0.033,0.7,0.005
81,20160104,동북권,광진구,85,61,0.026,0.024,0.8,0.005
82,20160104,동북권,동대문구,76,46,0.025,0.02,0.7,0.007
83,20160104,서남권,양천구,87,62,0.021,0.029,0.7,0.005
84,20160104,동남권,강동구,77,38,0.003,0.024,0.6,0.004
85,20160104,서남권,금천구,86,60,0.025,0.03,0.7,0.007
86,20160104,도심권,종로구,84,58,0.02,0.022,0.4,0.006
87,20160104,동북권,중랑구,80,45,0.024,0.031,0.7,0.007
88,20160104,동북권,성북구,64,38,0.029,0.022,0.6,0.006
89,20160104,서북권,마포구,74,57,0.024,0.026,0.7,0.006
90,20160104,동북권,도봉구,68,41,0.041,0.018,0.5,0.006
91,20160104,도심권,중구,70,38,0.026,0.032,0.4,0.007
92,20160104,서남권,영등포구,96,43,0.017,0.024,0.7,0.007
93,20160104,동남권,서초구,106,43,0.021,0.023,0.5,0.006
94,20160104,동북권,노원구,72,46,0.03,0.019,0.6,0.008
95,20160104,동북권,강북구,78,48,0.03,0.021,0.7,0.005
96,20160104,서남권,강서구,25,43,0.022,0.024,0.5,0.006
97,20160104,서북권,은평구,82,46,0.029,0.027,0.7,0.007
98,20160104,동남권,강남구,83,47,0.03,0.028,0.6,0.006
99,20160104,도심권,용산구,66,49,0.022,0.029,0.5,0.006
100,20160105,서북권,마포구,26,19,0.018,0.021,0.4,0.005
101,20160105,서북권,서대문구,37,17,0.018,0.03,0.6,0.006
102,20160105,동남권,강남구,33,16,0.022,0.028,0.4,0.006
103,20160105,도심권,중구,30,13,0.02,0.028,0.2,0.007
104,20160105,서남권,구로구,31,16,0.015,0.023,0.5,0.006
105,20160105,동남권,서초구,58,17,0.013,0.025,0.3,0.006
106,20160105,서남권,동작구,30,19,0.017,0.029,0.4,0.005
107,20160105,동북권,노원구,26,15,0.019,0.019,0.4,0.007
108,20160105,도심권,종로구,29,18,0.006,0.022,0.3,0.005
109,20160105,동북권,성북구,29,15,0.02,0.023,0.4,0.006
110,20160105,도심권,용산구,26,17,0.014,0.027,0.2,0.005
111,20160105,동북권,동대문구,28,14,0.017,0.024,0.6,0.006
112,20160105,서남권,관악구,33,18,0.015,0.034,0.5,0.005
113,20160105,서남권,강서구,38,16,0.015,0.023,0.3,0.006
114,20160105,동북권,성동구,35,16,0.016,0.026,0.4,0.004
115,20160105,서남권,영등포구,40,18,0.01,0.026,0.6,0.007
116,20160105,동북권,광진구,29,19,0.018,0.021,0.3,0.006
117,20160105,동북권,도봉구,26,12,0.027,0.019,0.3,0.005
118,20160105,서북권,은평구,34,15,0.017,0.025,0.5,0.007
119,20160105,동북권,강북구,31,18,0.019,0.022,0.5,0.004
120,20160105,동남권,강동구,30,13,0.006,0.024,0.4,0.004
121,20160105,서남권,양천구,37,21,0.015,0.027,0.5,0.005
122,20160105,동북권,중랑구,31,16,0.018,0.025,0.5,0.006
123,20160105,동남권,송파구,27,13,0.021,0.023,0.3,0.006
124,20160105,서남권,금천구,31,18,0.015,0.028,0.5,0.006
125,20160106,동남권,강남구,61,29,0.009,0.042,0.6,0.007
126,20160106,서남권,금천구,53,33,0.007,0.043,0.7,0.007
127,20160106,동남권,송파구,57,27,0.007,0.039,0.7,0.006
128,20160106,동남권,강동구,66,31,0.004,0.044,0.7,0.005
129,20160106,서남권,강서구,63,27,0.005,0.04,0.6,0.007
130,20160106,서남권,구로구,49,27,0.008,0.034,0.7,0.008
131,20160106,동북권,강북구,55,33,0.008,0.038,0.8,0.006
132,20160106,서남권,관악구,51,30,0.009,0.047,0.7,0.007
133,20160106,동북권,동대문구,56,28,0.007,0.042,0.8,0.008
134,20160106,도심권,중구,63,24,0.008,0.046,0.5,0.008
135,20160106,동북권,중랑구,60,33,0.011,0.041,0.7,0.007
136,20160106,동남권,서초구,68,26,0.006,0.036,0.5,0.007
137,20160106,동북권,도봉구,48,25,0.012,0.038,0.6,0.007
138,20160106,서남권,양천구,59,36,0.008,0.041,0.7,0.006
139,20160106,도심권,종로구,50,31,0.002,0.04,0.5,0.006
140,20160106,동북권,광진구,59,37,0.007,0.039,0.7,0.006
141,20160106,서북권,은평구,51,26,0.01,0.039,0.6,0.008
142,20160106,서북권,서대문구,57,27,0.008,0.052,0.8,0.006
143,20160106,도심권,용산구,43,30,0.008,0.04,0.4,0.006
144,20160106,서남권,영등포구,63,28,0.006,0.033,0.7,0.007
145,20160106,서남권,동작구,49,34,0.009,0.045,0.6,0.006
146,20160106,서북권,마포구,43,30,0.006,0.038,0.7,0.006
147,20160106,동북권,노원구,46,29,0.008,0.039,0.7,0.008
148,20160106,동북권,성동구,61,28,0.007,0.041,0.7,0.005
149,20160106,동북권,성북구,57,28,0.008,0.043,0.8,0.009
150,20160107,동남권,서초구,52,20,0.013,0.025,0.4,0.006
151,20160107,서북권,마포구,31,21,0.016,0.024,0.5,0.006
152,20160107,서남권,영등포구,48,21,0.011,0.026,0.7,0.007
153,20160107,서남권,동작구,33,22,0.017,0.03,0.5,0.005
154,20160107,동북권,강북구,35,21,0.018,0.023,0.5,0.005
155,20160107,동북권,광진구,37,23,0.017,0.023,0.3,0.005
156,20160107,도심권,용산구,31,21,0.014,0.028,0.3,0.005
157,20160107,동북권,노원구,36,22,0.015,0.025,0.6,0.007
158,20160107,동북권,도봉구,33,16,0.029,0.016,0.4,0.006
159,20160107,도심권,종로구,37,23,0.006,0.022,0.3,0.005
160,20160107,동북권,중랑구,42,21,0.016,0.032,0.6,0.007
161,20160107,서북권,서대문구,43,20,0.016,0.034,0.7,0.006
162,20160107,동북권,성동구,43,20,0.015,0.027,0.5,0.005
163,20160107,동남권,강동구,48,23,0.009,0.03,0.6,0.005
164,20160107,서남권,양천구,44,25,0.013,0.029,0.6,0.005
165,20160107,동북권,동대문구,39,19,0.017,0.022,0.6,0.007
166,20160107,서남권,구로구,36,18,0.016,0.023,0.6,0.007
167,20160107,도심권,중구,39,19,0.016,0.027,0.3,0.007
168,20160107,동북권,성북구,38,17,0.018,0.026,0.6,0.007
169,20160107,서남권,금천구,38,23,0.015,0.03,0.5,0.007
170,20160107,서남권,관악구,39,22,0.017,0.033,0.6,0.006
171,20160107,동남권,강남구,41,19,0.021,0.028,0.5,0.006
172,20160107,서북권,은평구,40,19,0.017,0.028,0.5,0.008
173,20160107,동남권,송파구,36,17,0.021,0.023,0.4,0.005
174,20160107,서남권,강서구,47,20,0.013,0.027,0.4,0.007
175,20160108,동남권,강동구,40,19,0.008,0.034,0.6,0.005
176,20160108,동남권,서초구,48,18,0.012,0.028,0.4,0.007
177,20160108,서남권,양천구,35,19,0.013,0.031,0.5,0.005
178,20160108,서북권,마포구,25,17,0.015,0.026,0.5,0.006
179,20160108,서북권,은평구,35,16,0.017,0.03,0.4,0.007
180,20160108,동북권,노원구,31,35,0.012,0.032,0.6,0.007
